doc_id,nom_document,version,statut,date_mise_a_jour,responsable,discipline,criticite,type_document,projet,conformite,nb_revisions,commentaire
BTP-2024-0001,Plan d'exécution Plomberie - A89 - Lot 1,B,Archivé,2026-04-06,Martin T.,Plomberie,Haute,Plan d'exécution,A89 Tunnel Est,Conforme,3,
BTP-2024-0002,CCTP CVC - A89 - Lot 1,E,Archivé,2026-04-27,,CVC,Moyenne,CCTP,A89 Tunnel Est,Conforme,2,
BTP-2024-0003,Fiche de contrôle Plomberie - Stade - Lot 5,C,Archivé,2026-05-17,Durand K.,Plomberie,Haute,Fiche de contrôle,Stade Bordeaux,Conforme,0,
BTP-2024-0004,Fiche de contrôle Plomberie - A89 - Lot 1,,Archivé,,Petit A.,Plomberie,Moyenne,Fiche de contrôle,A89 Tunnel Est,Non conforme,3,
BTP-2024-0005,PV de réception Façade - A89 - Lot 3,D,Draft,2026-05-06,Petit A.,Façade,Faible,PV de réception,A89 Tunnel Est,Conforme,1,
BTP-2024-0006,DOE CVC - Grand - Lot 1,D,Validé,2025-11-07,Martin T.,CVC,Haute,DOE,Grand Paris Ligne 16,Conforme,0,
BTP-2024-0007,PV de réception Façade - Viaduc - Lot 4,E,Validé,2025-10-15,Martin T.,Façade,Haute,PV de réception,Viaduc Saône,Conforme,4,
BTP-2024-0008,Note de calcul Génie civil - Stade - Lot 4,E,En révision,2024-10-12,Lefebvre M.,Génie civil,Moyenne,Note de calcul,Stade Bordeaux,Conforme,0,
BTP-2024-0009,Plan d'exécution Façade - Grand - Lot 5,D,En révision,2026-04-15,Durand K.,Façade,Faible,Plan d'exécution,Grand Paris Ligne 16,En attente,8,
BTP-2024-0010,Plan d'exécution Façade - A89 - Lot 1,C,En révision,2026-04-04,Petit A.,Façade,Moyenne,Plan d'exécution,A89 Tunnel Est,Conforme,4,
BTP-2024-0011,Note de calcul CVC - A89 - Lot 5,E,Obsolète,2026-04-15,Lefebvre M.,CVC,Haute,Note de calcul,A89 Tunnel Est,Conforme,5,
BTP-2024-0012,Plan d'exécution Électricité - A89 - Lot 1,,Manquant,,Lefebvre M.,Électricité,Faible,Plan d'exécution,A89 Tunnel Est,Non conforme,7,
BTP-2024-0013,Plan d'exécution Façade - Grand - Lot 2,E,Validé,2024-03-17,Petit A.,Façade,Moyenne,Plan d'exécution,Grand Paris Ligne 16,Non conforme,4,
BTP-2024-0014,DOE Électricité - Stade - Lot 2,A,Validé,2026-05-08,Rousseau S.,Électricité,Moyenne,DOE,Stade Bordeaux,Conforme,3,
BTP-2024-0015,Plan d'exécution Structure - A89 - Lot 5,C,Validé,2026-05-19,Martin T.,Structure,Faible,Plan d'exécution,A89 Tunnel Est,Conforme,7,
BTP-2024-0016,Fiche de contrôle Génie civil - Viaduc - Lot 1,D,Validé,2026-05-01,Lefebvre M.,Génie civil,Critique,Fiche de contrôle,Viaduc Saône,Conforme,6,
BTP-2024-0017,PV de réception Plomberie - A89 - Lot 1,D,Validé,2026-05-15,Bernard C.,Plomberie,Haute,PV de réception,A89 Tunnel Est,Conforme,8,
BTP-2024-0018,Plan d'exécution Structure - A89 - Lot 4,,Manquant,,Lefebvre M.,Structure,Faible,Plan d'exécution,A89 Tunnel Est,Non conforme,2,
BTP-2024-0019,Plan d'exécution Électricité - Viaduc - Lot 1,D,Validé,2026-05-05,Rousseau S.,Électricité,Faible,Plan d'exécution,Viaduc Saône,Conforme,8,
BTP-2024-0020,DOE Structure - Stade - Lot 2,E,Validé,2026-03-26,Lefebvre M.,Structure,Moyenne,DOE,Stade Bordeaux,Conforme,1,
BTP-2024-0021,Note de calcul Plomberie - Viaduc - Lot 5,B,Validé,2025-05-25,Rousseau S.,Plomberie,Faible,Note de calcul,Viaduc Saône,Conforme,8,
BTP-2024-0022,PV de réception VRD - Grand - Lot 1,C,En révision,2026-04-28,Lefebvre M.,VRD,Haute,PV de réception,Grand Paris Ligne 16,En attente,7,
BTP-2024-0023,CCTP CVC - A89 - Lot 2,C,Validé,2025-03-15,Bernard C.,CVC,Haute,CCTP,A89 Tunnel Est,Conforme,8,
BTP-2024-0024,PV de réception Plomberie - A89 - Lot 5,A,En révision,2026-03-28,Martin T.,Plomberie,Moyenne,PV de réception,A89 Tunnel Est,Conforme,4,
BTP-2024-0025,CCTP VRD - Grand - Lot 1,C,En révision,2024-09-09,Petit A.,VRD,Haute,CCTP,Grand Paris Ligne 16,En attente,6,
BTP-2024-0026,PV de réception Façade - A89 - Lot 2,C,Validé,2026-05-13,Rousseau S.,Façade,Faible,PV de réception,A89 Tunnel Est,Conforme,0,
BTP-2024-0027,PV de réception Façade - Grand - Lot 1,C,Validé,2026-03-27,Durand K.,Façade,Critique,PV de réception,Grand Paris Ligne 16,Conforme,8,
BTP-2024-0028,Fiche de contrôle Façade - Grand - Lot 3,,Manquant,,,Façade,Haute,Fiche de contrôle,Grand Paris Ligne 16,Non conforme,6,
BTP-2024-0029,DOE Façade - Grand - Lot 4,A,Validé,2026-04-29,Durand K.,Façade,Faible,DOE,Grand Paris Ligne 16,Conforme,4,
